Week,Total_Stake,Fund_NMR_Payout,Fund_Performance_Pct,Benchmark_Return,Cumulative_Fund_Return,Cumulative_Benchmark_Return,NMR_Price_Chg,Cumulative_Fund_Return_USD,Cumul_Quant_Return_Plot,Cumul_Benchmark_Return_Plot
02/28/2021,4.029999999999999,0.0561,1.39,-0.51,101.39,99.49,3.35,104.74,101.39,99.49
03/07/2021,4.090999999999999,0.035,0.86,2.44,102.26,101.92,7.63,113.63,102.26,101.92
03/14/2021,5.12,0.08109999999999999,1.58,-1.23,103.88,100.67,1.54,117.18,103.88,100.67
03/21/2021,6.699999999999999,0.1511,2.26,1.53,106.23,102.21,15.72,138.25,106.23,102.21
03/28/2021,2.63,0.0039,0.15,1.57,106.39,103.81,31.12,181.48,106.39,103.81
04/04/2021,0.0,0.0,0.0,1.99,106.39,105.88,1.77,184.69,106.39,105.88
04/11/2021,10.52,0.1859,1.77,1.56,108.27,107.53,9.4,205.32,108.27,107.53
04/18/2021,6.9399999999999995,0.088,1.27,0.12,109.65,107.66,-14.43,178.3,109.65,107.66
04/25/2021,13.81,0.2199,1.59,-0.03,111.39,107.63,2.14,184.95,111.39,107.63
05/02/2021,14.9998,0.025899999999999996,0.17,0.64,111.58,108.32,-6.47,173.3,111.58,108.32
05/09/2021,15.0289,0.159,1.06,-1.4,112.76,106.8,-31.05,121.33,112.76,106.8
05/16/2021,15.175699999999999,-0.6299,-4.15,-0.11,108.08,106.68,-2.08,113.77,108.08,106.68
05/23/2021,26.540000000000003,0.2115,0.8,0.65,108.94,107.37,16.72,133.7,108.94,107.37
05/30/2021,26.75,-0.32960000000000006,-1.23,0.7,107.6,108.12,-8.41,120.81,107.6,108.12
06/06/2021,29.43,-0.1763,-0.6,0.41,106.95,108.56,-14.14,103.0,106.95,108.56
06/13/2021,23.1,0.27520000000000006,1.19,-2.24,108.22,106.13,-26.87,76.55,108.22,106.13
06/20/2021,23.380000000000003,0.5257000000000001,2.25,2.35,110.65,108.62,27.93,99.65,110.65,108.62
06/27/2021,30.05,0.7196,2.39,1.53,113.29,110.28,-6.91,95.15,113.29,110.28
07/04/2021,0.0,0.0,0.0,0.6,113.29,110.94,-8.13,87.41,113.29,110.94
07/11/2021,30.54,-0.36329999999999996,-1.19,-0.94,111.94,109.9,-1.92,84.69,111.94,109.9
07/18/2021,38.18000000000001,1.0131,2.65,3.23,114.91,113.45,17.07,101.39,114.91,113.45
07/25/2021,33.33,0.4665,1.4,-0.18,116.52,113.25,8.88,111.81,116.52,113.25
08/01/2021,39.660000000000004,-1.0912,-2.75,0.49,113.32,113.8,5.82,115.24,113.32,113.8
08/08/2021,38.57,0.09989999999999999,0.26,0.78,113.61,114.69,-3.37,111.66,113.61,114.69
08/15/2021,32.64,-0.9184,-2.81,-0.26,110.42,114.39,11.01,120.82,110.42,114.39
08/22/2021,37.739999999999995,-0.46640000000000004,-1.24,1.14,109.05,115.69,4.63,124.92,109.05,115.69
08/29/2021,23.09,0.1431,0.62,-4.16,109.73,110.88,-11.79,110.97,109.73,110.88
09/05/2021,51.25,0.5006,0.98,-3.95,110.81,106.5,12.32,125.73,110.81,106.5
09/12/2021,37.17,0.5426,1.46,-2.47,112.43,103.87,-3.79,122.8,112.43,103.87
09/19/2021,37.17,-0.0003999999999999837,-0.0,3.35,112.43,107.35,-1.56,120.88,112.43,107.35
09/26/2021,44.14,-0.3242999999999999,-0.73,4.77,111.61,112.47,0.18,120.22,111.61,112.47
10/03/2021,74.81,0.131,0.18,7.6,111.81,121.02,0.39,120.91,111.81,121.02
10/10/2021,75.36,1.0175999999999998,1.35,7.52,113.32,130.12,1.56,124.43,113.32,130.12
10/17/2021,75.36,-0.6941,-0.92,4.02,112.28,135.35,-12.35,107.92,112.28,135.35
10/24/2021,75.03,-4.8393999999999995,-6.45,2.57,105.04,138.83,3.57,104.81,105.04,138.83
10/31/2021,55.14,-0.2178,-0.39,-1.24,104.63,137.11,0.97,105.42,104.63,137.11
11/07/2021,76.17,3.3950000000000005,4.46,0.58,109.3,137.91,-14.33,95.02,109.3,137.91
11/14/2021,75.49000000000001,0.8119,1.08,-1.2,110.48,136.26,-9.1,87.4,110.48,136.26
11/21/2021,70.65,-2.3256,-3.29,-0.64,106.85,135.39,8.43,91.89,106.85,135.39
11/28/2021,51.540000000000006,0.5483,1.06,3.3,107.98,139.86,-6.03,87.32,107.98,139.86
12/05/2021,73.82,-1.0415,-1.41,1.89,106.46,142.5,-9.36,77.92,106.46,142.5
12/12/2021,74.63,0.6837,0.92,1.37,107.44,144.45,-3.62,75.82,107.44,144.45
12/19/2021,72.3,1.1413,1.58,-1.36,109.14,142.49,-4.86,73.33,109.14,142.49
12/26/2021,77.78,-1.7094,-2.2,-8.91,106.74,129.79,-24.05,54.08,106.74,129.79
01/02/2022,51.27,-2.248,-4.38,-5.07,102.06,123.21,39.27,72.95,102.06,123.21
01/09/2022,76.63,0.43089999999999995,0.56,-4.38,102.63,117.81,-0.21,73.21,102.63,117.81
01/16/2022,77.23,1.7207,2.23,-2.63,104.92,114.71,0.57,75.26,104.92,114.71
01/23/2022,83.0,-1.1438,-1.38,-2.53,103.47,111.81,4.57,77.66,103.47,111.81
01/30/2022,81.39,-1.1639000000000002,-1.43,-5.6,101.99,105.55,-3.06,74.17,101.99,105.55
02/06/2022,69.54,3.96,5.69,-8.56,107.79,96.51,-2.56,76.49,107.79,96.51
02/13/2022,79.47,-2.2281999999999997,-2.8,-4.0,104.77,92.65,6.26,79.14,104.77,92.65
02/20/2022,46.9,1.45,3.09,3.91,108.01,96.27,5.66,86.06,108.01,96.27
02/27/2022,59.879999999999995,0.5881000000000001,0.98,6.75,109.07,102.77,-8.08,79.95,109.07,102.77
03/06/2022,79.78,1.3134000000000003,1.65,6.09,110.87,109.03,-8.3,74.63,110.87,109.03
03/13/2022,84.67,0.7987000000000001,0.94,1.95,111.91,111.16,-4.36,72.08,111.91,111.16
03/20/2022,82.45,-0.07170000000000001,-0.09,-0.42,111.81,110.69,-0.67,71.53,111.81,110.69
03/27/2022,83.9,1.8763999999999998,2.24,-9.61,114.31,100.05,-10.72,65.46,114.31,100.05
04/03/2022,84.49,-1.0598,-1.25,-6.83,112.88,93.22,-49.31,32.36,112.88,93.22
04/10/2022,85.80000000000001,1.4664000000000001,1.71,-8.89,114.81,84.93,17.05,38.43,114.81,84.93
04/17/2022,86.41000000000001,-1.3110999999999997,-1.52,-8.64,113.06,77.59,-6.42,35.38,113.06,77.59
04/24/2022,85.27,-0.000699999999999909,-0.0,-5.6,113.06,73.24,-2.87,34.36,113.06,73.24
05/01/2022,88.11999999999999,-2.6967999999999996,-3.06,-1.0,109.6,72.51,-2.71,32.38,109.6,72.51
05/08/2022,87.05,-1.1908,-1.37,4.44,108.1,75.73,-31.5,21.74,108.1,75.73
05/15/2022,88.44279999999999,-1.4590000000000003,-1.65,-7.34,106.32,70.17,6.78,22.86,106.32,70.17
05/22/2022,87.1013,0.006599999999999978,0.01,-4.39,106.33,67.09,213.28,71.62,106.33,67.09
05/29/2022,85.04,0.6519,0.77,-8.31,107.15,61.51,-38.52,44.58,107.15,61.51
06/05/2022,48.19,0.7875000000000001,1.63,-7.72,108.9,56.76,-13.49,39.29,108.9,56.76
06/12/2022,81.08,0.6325999999999999,0.78,0.92,109.75,57.28,31.05,51.8,109.75,57.28
06/19/2022,80.6626,-0.05449999999999997,-0.07,5.84,109.67,60.63,-8.04,47.6,109.67,60.63
06/26/2022,81.88,-1.4809,-1.81,2.53,107.68,62.16,20.76,56.62,107.68,62.16
07/03/2022,81.28000000000002,-0.26490000000000014,-0.33,6.79,107.32,66.38,1.48,57.27,107.32,66.38
07/10/2022,82.22,1.076,1.31,9.66,108.73,72.79,-6.52,54.29,108.73,72.79
07/17/2022,85.51,-1.372,-1.6,9.49,106.99,79.7,-7.48,49.36,106.99,79.7
07/24/2022,85.9,0.38999999999999996,0.45,4.56,107.47,83.33,-8.79,45.24,107.47,83.33
07/31/2022,85.09,-0.3506000000000001,-0.41,-2.95,107.03,80.87,3.81,46.78,107.03,80.87
08/07/2022,89.85,-0.8500000000000002,-0.95,-6.69,106.01,75.46,-5.16,43.92,106.01,75.46
08/14/2022,90.89,0.77,0.85,-7.7,106.91,69.65,-7.49,41.0,106.91,69.65
08/21/2022,89.53,0.99,1.11,-6.8,108.1,64.91,-3.0,40.23,108.1,64.91
08/28/2022,89.91,0.77,0.86,-9.14,109.03,58.98,9.7,44.48,109.03,58.98
09/04/2022,61.71999999999999,0.6813,1.1,-3.19,110.23,57.1,-11.42,39.89,110.23,57.1
